1, L: -9.0°, R: -26.0°, Yaw: 0.0, Rate: 0.04039412, Note: Init Done
3, L: -9.0°, R: -25.0°, Yaw: 0.0, Rate: 0.04039412, Note: drive 250mm
1045, L: 352.0°, R: 337.0°, Yaw: -0.0078125, Rate: 2.490394, Note: drive 250mm
2034, L: 489.0°, R: 196.0°, Yaw: 94.80457, Rate: 0.3903941, Note: drive 250mm
3010, L: 846.0°, R: 565.0°, Yaw: 90.81775, Rate: 0.3203941, Note: drive 250mm
3995, L: 986.0°, R: 425.0°, Yaw: 185.5226, Rate: -1.149606, Note: drive 250mm
4970, L: 1339.0°, R: 792.0°, Yaw: 180.9788, Rate: 0.5303941, Note: drive 250mm
5954, L: 1477.0°, R: 654.0°, Yaw: 275.0571, Rate: 0.1803942, Note: drive 250mm
6930, L: 1831.0°, R: 1022.0°, Yaw: 270.6875, Rate: 1.510394, Note: drive 250mm


